element,sub_element,construction_type,unit_quantity_method,status_in_areafy
1 Roofs,1.1 Structure,1.1.1 Flat roof structure and deck - Generally,GF GIFA,OK
1 Roofs,1.1 Structure,1.1.2 Pitched roof structure - Generally,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.1 Flat roof - Flexible sheet; single ply or built up,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.2 Flat roof - Asphalt,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.3 Flat roof - Flat metal sheet,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.4 Flat roof - Liquid applied,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.5 Flat roof - Green roof,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.6 Flat roof - Glazed areas / rooflights,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.7 Pitched roof - Natural slates,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.8 Pitched roof - Tiles,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.9 Pitched roof - Flexible sheet; single ply or built up,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.10 Pitched roof - Profiled fibreglass / GRP / plastic / composite sheet,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.11 Pitched roof - Profiled fibre cement sheet,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.12 Pitched roof - profiled metal sheet; self finished,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.13 Pitched roof - Flat metal sheet,GF GIFA,OK
1 Roofs,1.2 Coverings and insulation,1.2.14 Pitched roof - Glazed areas / rooflights,GF GIFA,OK
1 Roofs,1.3 Drainage,1.3.1 Flat roof - Fibre cement,GF GIFA,OK
1 Roofs,1.3 Drainage,1.3.2 Flat roof - Cast iron,GF GIFA,OK
1 Roofs,1.3 Drainage,1.3.3 Flat roof - Aluminium,GF GIFA,OK
1 Roofs,1.3 Drainage,1.3.4 Flat roof - Other metal,GF GIFA,OK
1 Roofs,1.3 Drainage,1.3.5 Flat roof - Plastic,GF GIFA,OK
1 Roofs,1.3 Drainage,1.3.6 Pitched roof - Fibre cement,GF GIFA,OK
1 Roofs,1.3 Drainage,1.3.7 Pitched roof - Cast iron,GF GIFA,OK
1 Roofs,1.3 Drainage,1.3.8 Pitched roof - Aluminium,GF GIFA,OK
1 Roofs,1.3 Drainage,1.3.9 Pitched roof - Other metal,GF GIFA,OK
1 Roofs,1.3 Drainage,1.3.10 Pitched roof - Plastic,GF GIFA,OK
2 Floors and stairs,2.1 Ground bearing / hollow floors - structure,2.1.1 Generally,GF GIFA,OK
2 Floors and stairs,2.2 Suspended floors - structure,2.2.1 Generally,GIFA less GF GIFA,not
2 Floors and stairs,2.3 Floors - screed & finish,2.3.1 Concrete / unfinished screed / floor paint,GIFA,OK
2 Floors and stairs,2.3 Floors - screed & finish,2.3.2 Softwood boarding,GIFA,OK
