element	sub_element	const_type	na	ab	bc	cd	de
Roofs	ROOFS	ROOFS	0.5	0.03862	0.06437	0.15015	0.25342
Roofs	STRUCTURE	PITCHED ROOF STRUCTURE - GENERALLY	0.5	0.02051	0.03419	0.08205	0.13675
Roofs	Coverings and insulation	PITCHED ROOF - TILES	0.5	0.02367	0.03945	0.09467	0.15779
Roofs	Coverings and insulation	Pitched roof - Flexible sheet; single ply or built up	0.5	0.03663	0.06105	0.14652	0.2442
Roofs	Coverings and insulation	Pitched roof - Profiled fibreglass / GRP / plastic / composite sheet	0.5	0.06689	0.11148	0.16722	0.33445
Roofs	Coverings and insulation	PITCHED ROOF - PROFILED FIBRE CEMENT SHEET	0.5	0.04396	0.07326	0.17582	0.29304
Roofs	Coverings and insulation	PITCHED ROOF - PROFILED METAL SHEET; SELF FINISHED	0.5	0.03846	0.0641	0.15385	0.25641
Roofs	Coverings and insulation	Pitched roof - Flat metal sheet 	0.5	0.07692	0.12821	0.30769	0.51282
Roofs	Coverings and insulation	PITCHED ROOF - GLAZED AREAS / ROOFLIGHTS	0.5	0.05495	0.09158	0.21978	0.3663
Roofs	DRAINAGE	PITCHED ROOF - CAST IRON	0.5	0.03077	0.05128	0.12308	0.20513
Roofs	DRAINAGE	PITCHED ROOF - ALUMINIUM	0.5	0.03846	0.0641	0.15385	0.25641
Roofs	DRAINAGE	PITCHED ROOF - OTHER METAL	0.5	0.04396	0.07326	0.17582	0.29304
Roofs	DRAINAGE	PITCHED ROOF - PLASTIC	0.5	0.06154	0.10256	0.24615	0.41026
FLOORS AND STAIRS	FLOORS AND STAIRS	FLOORS AND STAIRS	0.5	0.04195	0.06157	0.10877	0.20537
FLOORS AND STAIRS	GROUND BEARING / HOLLOW FLOORS - STRUCTURE	GENERALLY	0.5	0.02198	0.03663	0.08791	0.14652
FLOORS AND STAIRS	GROUND BEARING / HOLLOW FLOORS - STRUCTURE	CONCRETE / UNFINISHED SCREED / FLOOR PAINT	0.5	0.04274	0.05698	0.08547	0.17094
FLOORS AND STAIRS	GROUND BEARING / HOLLOW FLOORS - STRUCTURE	SOFTWOOD BOARDING	0.5	0.0641	0.08547	0.12821	0.25641
FLOORS AND STAIRS	Floors -  Screed & finish  	HARDWOOD STRIP / WOOD BLOCK / SPRUNG FLOOR	0.5	0.0641	0.08547	0.12821	0.25641
FLOORS AND STAIRS	Floors -  Screed & finish  	RAISED ACCESS FLOOR	0.5	0.07123	0.09497	0.14245	0.2849
FLOORS AND STAIRS	Floors -  Screed & finish  	VINYL / RUBBER / CORK IN TILES / SHEET	0.5	0.12821	0.17094	0.25641	0.51282
FLOORS AND STAIRS	Floors -  Screed & finish  	CERAMIC TILES / TERRAZZO	0.5	0.03846	0.05128	0.07692	0.15385
FLOORS AND STAIRS	Floors -  Screed & finish  	CARPET	0.5	0.17483	0.2331	0.34965	0.6993
FLOORS AND STAIRS	Staircases - Structure	CONCRETE	0.5	0.02198	0.03663	0.08791	0.14652
FLOORS AND STAIRS	Staircases - Structure	TIMBER	0.5	0.02564	0.04274	0.10256	0.17094
FLOORS AND STAIRS	Staircases - Structure	METAL	0.5	0.03077	0.05128	0.12308	0.20513
FLOORS AND STAIRS	STAIRCASES - BALUSTRADES	TIMBER	0.5	0.03205	0.04274	0.0641	0.12821
FLOORS AND STAIRS	STAIRCASES - BALUSTRADES	METAL; PAINTED	0.5	0.04274	0.05698	0.08547	0.17094
FLOORS AND STAIRS	STAIRCASES - BALUSTRADES	Metal; powder coated / self finsihed	0.5	0.04274	0.05698	0.08547	0.17094
FLOORS AND STAIRS	Staircases - Treads and risers	TIMBER	0.5	0.04396	0.07326	0.17582	0.29304
FLOORS AND STAIRS	Staircases - Treads and risers	Vinyl / rubber / cork / carpet in tiles / sheet	0.5	0.12821	0.17094	0.25641	0.51282
FLOORS AND STAIRS	Staircases - Treads and risers	CERAMIC TILES / TERRAZZO	0.5	0.03846	0.05128	0.07692	0.15385
CEILINGS	Generally	Fair face concrete	0.5	0.02564	0.04274	0.10256	0.17094
CEILINGS	Generally	Plaster / render / plasterboard/ timber lining	0.5	0.04525	0.07541	0.181	0.30166
CEILINGS	Generally	Fibreboard / acoustic tile lining	0.5	0.04396	0.07326	0.17582	0.29304
"External Walls, Windows and Doors"	WALLS - STRUCTURE	IN SITU CONCRETE	0.5	0.02286	0.0381	0.09143	0.15238
