element,sub_element,const_type,D,C,B,A
1 Roofs,1.1 Structure,1.1.1 Flat roof structure and deck - Generally,153.7182546,38.42956365,7.68591273,0
1 Roofs,1.1 Structure,1.1.2 Pitched roof structure - Generally,281.7999548,49.31499209,14.08999774,0
1 Roofs,1.2 Coverings and insulation,1.2.1 Flat roof - Flexible sheet; single ply or built up,141.1645476,42.34936428,14.11645476,0
1 Roofs,1.2 Coverings and insulation,1.2.2 Flat roof - Asphalt,133.4310717,40.0293215,13.34310717,0
1 Roofs,1.2 Coverings and insulation,1.2.3 Flat roof - Flat metal sheet,346.3714316,129.8892869,43.29642895,0
1 Roofs,1.2 Coverings and insulation,1.2.4 Flat roof - Liquid applied,120.5451656,36.16354968,12.05451656,0
1 Roofs,1.2 Coverings and insulation,1.2.5 Flat roof - Green roof,292.1092742,87.63278226,29.21092742,0
1 Roofs,1.2 Coverings and insulation,1.2.6 Flat roof - Glazed areas / rooflights,3.548308406,0.887077101,0.17741542,0
1 Roofs,1.2 Coverings and insulation,1.2.7 Pitched roof - Natural slates,211.4893386,68.73403505,15.8617004,0
1 Roofs,1.2 Coverings and insulation,1.2.8 Pitched roof - Tiles,213.2550486,69.30789078,15.99412864,0
1 Roofs,1.2 Coverings and insulation,1.2.9 Pitched roof - Flexible sheet; single ply or built up,175.0096436,52.50289308,17.50096436,0
1 Roofs,1.2 Coverings and insulation,1.2.10 Pitched roof - Profiled fibreglass / GRP / plastic / composite sheet,117.5851008,23.51702015,5.879255038,0
1 Roofs,1.2 Coverings and insulation,1.2.11 Pitched roof - Profiled fibre cement sheet,105.9245643,21.18491286,5.296228214,0
1 Roofs,1.2 Coverings and insulation,1.2.12 Pitched roof - profiled metal sheet; self finished,148.7518246,44.62554737,14.87518246,0
1 Roofs,1.2 Coverings and insulation,1.2.13 Pitched roof - Flat metal sheet,535.0104689,200.6289258,66.87630862,0
1 Roofs,1.2 Coverings and insulation,1.2.14 Pitched roof - Glazed areas / rooflights,1167.028414,291.7571036,58.35142072,0
